,PT
m1x,7:14.6
m2+,7:27.7
m2-,7:03.9
m2x,6:39.7
m4+,6:32.5
m4-,6:17.2
m4x,6:06.3
m8+,5:52.8
w1x,8:08.7
w2-,7:51.6
w2x,7:24.8
w4x+,7:02.2
w4x,6:51.4
w4+,7:17.6
