,PT
m1x,1:48.7
m2+,1:51.9
m2-,1:46.0
m2x,1:39.9
m4+,1:38.1
m4-,1:34.3
m4x,1:31.6
m8+,1:28.2
w1x,2:02.2
w2-,1:57.9
w2x,1:51.2
w4x+,1:45.6
w4x,1:42.8
w4+,1:49.4
