,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
65,2000,91,m1x,敗復C組,6,,0,0,0,0,,
66,2000,92,m1x,敗復D組,4,吉田賢司(三洋電機滋賀),117.31,239.98,365.04,489.6,1,->Semi-Final
67,2000,92,m1x,敗復D組,3,清水秀哉(千葉大学),125.06,249.44,374.46,498.89,2,
68,2000,92,m1x,敗復D組,5,林達郎(日本医科大学),122.37,249.86,377.04,501.43,3,
69,2000,92,m1x,敗復D組,2,山口智之(東京トヨペット),125.27,253.66,384.89,515.34,4,
70,2000,92,m1x,敗復D組,1,,0,0,0,0,,
71,2000,92,m1x,敗復D組,6,,0,0,0,0,,
72,2000,93,m1x,敗復E組,4,上野晋(道新RC),112.61,233.4,363.26,488.81,1,->Semi-Final
73,2000,93,m1x,敗復E組,3,池田勉(成蹊大学),118.1,244.07,378.46,501.78,2,
74,2000,93,m1x,敗復E組,5,安藤隆博(法政大学),117.5,243.34,378.26,504,3,
75,2000,93,m1x,敗復E組,2,中上仰(PML),117.15,250.17,388.14,518.97,4,
76,2000,93,m1x,敗復E組,1,,0,0,0,0,,
77,2000,93,m1x,敗復E組,6,,0,0,0,0,,
78,2000,94,m1x,敗復F組,3,矢地洋二(中国電力),109.71,228.23,354.6,481.92,1,->Semi-Final
79,2000,94,m1x,敗復F組,4,小谷和弘(東京医科歯科大学),112.84,233.83,361.38,483.67,2,
80,2000,94,m1x,敗復F組,5,児玉一成(中央大学),116.96,240.09,367.25,492.96,3,
81,2000,94,m1x,敗復F組,2,菊池健司(北海道大学),118.11,244.9,379.36,513.51,4,
82,2000,94,m1x,敗復F組,6,岐部佳史(国府台RC),126.74,264.3,413.98,556.06,5,
83,2000,94,m1x,敗復F組,1,,0,0,0,0,,
84,2000,95,m1x,敗復G組,4,羅暁鋒(香港),114.07,232.55,350.46,474.9,1,->Semi-Final
85,2000,95,m1x,敗復G組,6,橘完太(名古屋大学),117.58,240.68,363.19,487.49,2,
86,2000,95,m1x,敗復G組,3,松岡紳ニ郎(秋艇会),112.96,231.91,361.08,492.02,3,
87,2000,95,m1x,敗復G組,2,松尾大樹(成城大学),119.7,248.54,382.46,519.96,4,
88,2000,95,m1x,敗復G組,1,,0,0,0,0,,
89,2000,95,m1x,敗復G組,5,森山修(関西電力美浜RC),0,0,0,0,,棄権
90,2000,96,m1x,敗復H組,4,中尾慶(明治生命),115.56,235.57,358.94,481.96,1,->Semi-Final
91,2000,96,m1x,敗復H組,5,金山大一郎(東京経済大学),114.92,237.86,367.36,496.3,2,
